#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:75141|GRID:217250	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rasd2	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:4930526B11Rik(gene name synonym)|entrez gene/locuslink:TEM-2(gene name synonym)|entrez gene/locuslink:Rhes(gene name synonym)|entrez gene/locuslink:TEM2(gene name synonym)|entrez gene/locuslink:AU045414(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117015	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:19376|GRID:202576	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rab34|entrez gene/locuslink:RP23-185A18.5	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:AI326479(gene name synonym)|entrez gene/locuslink:Rah(gene name synonym)|entrez gene/locuslink:Rah1(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117016	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:69159|GRID:213261	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rhebl1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:1810036J22Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117017	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:72433|GRID:215371	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rab38	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:2310011F14Rik(gene name synonym)|entrez gene/locuslink:AU043391(gene name synonym)|entrez gene/locuslink:MGC107581(gene name synonym)|entrez gene/locuslink:cht(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117018	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:69288|GRID:213337	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rhobtb1	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:AI573858(gene name synonym)|entrez gene/locuslink:AV350930(gene name synonym)|entrez gene/locuslink:MGC107538(gene name synonym)|entrez gene/locuslink:AI173445(gene name synonym)|entrez gene/locuslink:1700008H16Rik(gene name synonym)|entrez gene/locuslink:3110048G13Rik(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117019	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:54126|GRID:207566	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Arhgef7	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:p85Cool1(gene name synonym)|entrez gene/locuslink:betaPix-c(gene name synonym)|entrez gene/locuslink:Cool(gene name synonym)|entrez gene/locuslink:betaPix-b(gene name synonym)|entrez gene/locuslink:betaPix(gene name synonym)|entrez gene/locuslink:PIX(gene name synonym)|entrez gene/locuslink:p85SPR(gene name synonym)|entrez gene/locuslink:cool-1(gene name synonym)|entrez gene/locuslink:Pak3bp(gene name synonym)|entrez gene/locuslink:mKIAA0142(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117020	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:78294|GRID:219309	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Rps27a|entrez gene/locuslink:RP23-92B18.5	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:0610006J14Rik(gene name synonym)|entrez gene/locuslink:Ubb(gene name synonym)|entrez gene/locuslink:Uba52(gene name synonym)|entrez gene/locuslink:Ubc(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117021	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:57443|GRID:208300	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Fbxo3|entrez gene/locuslink:RP23-261L3.4	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:1700026K02Rik(gene name synonym)|entrez gene/locuslink:1200002G09Rik(gene name synonym)|entrez gene/locuslink:Fba(gene name synonym)|entrez gene/locuslink:AI046358(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117022	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:18412|GRID:201982	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Sqstm1|entrez gene/locuslink:RP23-319B15.3	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:p62(gene name synonym)|entrez gene/locuslink:STAP(gene name synonym)|entrez gene/locuslink:Osi(gene name synonym)|entrez gene/locuslink:OSF-6(gene name synonym)|entrez gene/locuslink:A170(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117023	-
entrez gene/locuslink:4087|GRID:110262	entrez gene/locuslink:52432|GRID:206582	entrez gene/locuslink:SMAD2	entrez gene/locuslink:Ppp2r2d	entrez gene/locuslink:hMAD-2(gene name synonym)|entrez gene/locuslink:MADR2(gene name synonym)|entrez gene/locuslink:JV18(gene name synonym)|entrez gene/locuslink:hSMAD2(gene name synonym)|entrez gene/locuslink:MGC22139(gene name synonym)|entrez gene/locuslink:MGC34440(gene name synonym)|entrez gene/locuslink:JV18-1(gene name synonym)|entrez gene/locuslink:MADH2(gene name synonym)	entrez gene/locuslink:1300017E19Rik(gene name synonym)|entrez gene/locuslink:MDS026(gene name synonym)|entrez gene/locuslink:D7Ertd753e(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Barrios-Rodiles M (2005)"	pubmed:15761153	taxid:9606	taxid:10090	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(GRID)	GRID:117024	-
