ERV1	CYC1
GIC2	CLA4
NAM7	SUP35
NAM7	NUP116
VRP1	RVS167
VRP1	MYO3
VRP1	LAS17
MNN9	ANP1
SML1	DUN1
SCH9	RIM15
EXO70	SEC5
EXO70	SEC3
PEX6	PEX15
PEX6	PEX1
RGA1	CLA4
PMS1	MSH2
VTA1	DID2
VTA1	SNF7
VTA1	VPS60
SIR1	RAP1
SIR1	ORC1
GIC1	GIC2
GIC1	CLA4
SCD5	END3
SCD5	PAN1
CIK1	KAR3
SKN7	SLN1
SKN7	MBP1
SKN7	YPD1
GCD11	TIF5
HHT1	ARP4
HHT1	HHF1
HHT1	HTA1
HHT1	STH1
HHT1	BDF1
SLN1	SSK1
MSB3	MSB4
PRP21	PRP9
SAC7	ACT1
GAL83	SIP1
GAL83	REG1
ALY2	RSP5
MCM2	MCM3
MCM2	DBF4
MCM2	MCM7
MCM2	CDC7
OST6	WBP1
OST6	STT3
UBP8	TAF12
CLN1	SIC1
HOP2	MND1
VPH1	VMA2
VPH1	VMA6
VPH1	VMA8
VPH1	VMA13
MYO2	SMY1
MYO2	CLA4
MYO2	CMD1
MYO2	MLC1
MYO2	SHE4
MYO2	ACT1
MRE11	YKU80
MRE11	RSC2
MRE11	ELG1
LDB18	NIP100
LDB18	JNM1
LDB18	ARP1
SNC2	SEC9
RVS167	GYL1
RVS167	GYP5
RVS167	BSP1
RVS167	RVS161
RVS167	SLA1
RVS167	RSP5
RVS167	ACF2
ATG16	ATG12
ATG16	ATG5
UBP2	RUP1
RLF2	SIR1
RLF2	ASF1
RLF2	HIR1
RLF2	SAS2
RAP1	SIR4
RAP1	GCR1
RAP1	SWI3
MGA2	RSP5
MLP2	YRA1
MLP2	SPC110
TAH1	PIH1
LEO1	HTZ1
LEO1	PAF1
STE18	STE4
MID2	ROM2
MID2	SLG1
SUB1	RNA15
DSS4	SEC4
DSS4	YPT1
PFY1	SRV2
PFY1	ACT1
TIM23	TIM44
TIM23	TIM50
MUS81	MMS4
MUS81	VID22
MUS81	ELG1
MUS81	TSA1
VPS21	VPS9
MCM5	MCM2
MCM5	MCM3
MCM5	MCM7
CUP9	UBR1
SEM1	RPN10
KTI11	ELP3
KTI11	ATS1
MSN2	MSN4
TAF11	TAF3
TAF11	TAF10
NUP2	NUP60
NUP2	SRM1
RFC1	RAD24
ARP4	EPL1
ARP4	EAF5
ARP4	HTA1
ARP4	EAF1
SRB7	MED4
SRB7	PGD1
SRB7	MED8
GTR1	MEH1
GTR1	SLM4
GTR1	GTR2
GTR1	LTV1
CCS1	MRE11
CCS1	XRS2
RFC3	RFC4
CBC2	NPL3
CBC2	NAM8
CBC2	STO1
PPZ1	PPZ2
PPZ1	SIS2
HYR1	GLN1
TID3	SPC24
TID3	SMC2
TID3	SPC25
MTR10	NPL3
RGR1	SRB4
RGR1	RPB4
RGR1	NUT2
RGR1	RPO21
RGR1	SRB2
RGR1	SIN4
RGR1	PGD1
RGR1	RPB3
RGR1	MED8
RGR1	RPB2
RGR1	MED6
RGR1	GAL11
MUD1	CBC2
RNR1	SML1
YSH1	GLC7
YSH1	YTH1
RPA14	RPA34
RPA14	RPA49
