activity 	act.
of 	
regulation 	reg.
process 	proc.
cell 	cell 
positive 	pos.
negative 	neg.
biosynthetic 	biosyn.
complex 	clx.
in 	
to 	
binding 	bind.
metabolic 	metab.
receptor 	r.
response 	resp.
development 	dev.
protein 	prot.
catabolic 	catab.
by 	
acid 	ac.
host 	host 
transport 	transp.
involved 	
signaling 	signal.
differentiation 	diff.
pathway 	path.
formation 	form.
morphogenesis 	morphogen.
cellular 	cell.
during 	
membrane 	memb.
transporter 	transp.
dehydrogenase 	dehydrogenase 
transmembrane 	transmemb.
symbiont 	symbio.
via 	
growth 	growth 
organism 	org.
kinase 	kinase 
synthase 	synthase 
from 	
factor 	fac.
production 	prod.
muscle 	muscle 
DNA 	DNA 
RNA 	RNA 
assembly 	assembly 
ion 	ion 
or 	
reductase 	reductase 
interaction 	int.
signal 	sig.
transcription 	transcript.
and 	
fate 	fate 
stimulus 	stim.
secretion 	secr.
proliferation 	prolifer.
on 	
other 	other 
organization 	organiz.
T 	T 
symbiotic 	symbio.
amino 	amino 
activity, 	act.,
II 	II 
type 	type 
immune 	immu.
transduction 	transduct.
mediated 	
antigen 	antig.
activation 	activat.
mitochondrial 	mito.
specification 	specif.
ligase 	ligase 
nuclear 	nucl.
processing 	proc.
migration 	migrat.
histone 	histone 
the 	
peptide 	pept.
hormone 	horm.
system 	syst.
hydrolase 	hydrolase 
polymerase 	polymerase 
into 	
modulation 	modulat.
wall 	wall 
induction 	induc.
vesicle 	vesicle 
localization 	localiz.
I 	I 
B 	B 
cycle 	cycle 
maintenance 	maint.
channel 	channel 
with 	
commitment 	commit.
ATPase 	ATPase 
oxidase 	oxidase 
mRNA 	mRNA 
detection 	detect.
epithelial 	epithel.
nucleus 	nucl.
establishment 	establ.
cardiac 	cardiac 
acting 	
calcium 	Ca
oxidoreductase 	oxidoreductase 
mitotic 	mitotic 
neuron 	neuron 
gland 	gland 
nerve 	nerve 
body 	body 
as 	
phosphorylation 	phosphoryl.
homeostasis 	homeostasis 
meiotic 	meiotic 
symporter 	symport.
phosphatase 	phosphatase 
nucleotide 	nucleot.
rRNA 	rRNA 
heart 	heart 
plasma 	plasma 
apoptosis 	apoptosis 
modification 	modific.
adhesion 	adhesion 
contraction 	contraction 
presentation 	presentation 
maturation 	matur.
spindle 	spindle 
class 	class 
blood 	blood 
initiation 	init.
lateral 	lat.
viral 	viral 
purine 	purine 
determination 	det.
near 	near 
tissue 	tissue 
lipoprotein 	lipoprot.
microtubule 	microtubule 
MHC 	MHC 
fusion 	fusion 
Golgi 	Golgi 
promoter 	promoter 
import 	import 
lipid 	lipid 
skeletal 	skeletal 
embryonic 	embryonic 
axon 	axon 
granule 	granule 
virus 	virus 
nucleoside 	nucleoside 
decarboxylase 	decarboxylase 
gene 	gene 
synaptic 	synaptic 
fatty 	fatty 
tolerance 	tolerance 
chromosome 	chromosome 
G-protein 	G-protein 
filament 	filament 
glutamate 	glutamate 
actin 	actin 
pyrimidine 	pyrimidine 
defense 	defense 
elongation 	elongation 
active 	active 
tRNA 	tRNA 
neural 	neural 
replication 	replic.
structural 	struct.
systemic 	systemic 
tyrosine 	tyrosine 
smooth 	smooth 
adaptor 	adaptor 
methylation 	methylation 
chemotaxis 	chemotaxis 
dioxygenase 	dioxygenase 
monooxygenase 	monooxygenase 
incorporation 	incorporation 
lyase 	lyase 
eye 	eye 
defense-related 	defense-related 
chromatin 	chromatin 
domain 	domain 
cytokine 	cytokine 
light 	light 
a 	a 
inflammatory 	inflammatory 
pattern 	pattern 
diphosphate 	diphosphate 
methyltransferase 	methyltransferase 
phosphate 	phosphate 
immunoglobulin 	immunoglobulin 
cross-linking 	cross-linking 
uptake 	uptake 
bud 	bud 
acceptor 	acceptor 
plate 	plate 
endoplasmic reticulum	ER
mitochondria	mito.
mitochondrion	mito.
dependent	depend
